department,create_time,biz_name,level,stability_scan,scan_timeliness,stability_clean,cleaning_timeliness,stability_convert,conversion_timeliness,stability_warehouse,warehousing_timeliness,stability_check,inspection_timeliness,accuracy_sample_field,consistency_file_record,completeness_file_field,uniqueness_primary_key,normativity_field_format,statistic_cycle,statistic_week_month,metric_trend_id
渠道运营中心,20250727,掌经,P0,100%,87%,100%,87%,100%,75%,100%,84%,100%,87%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932758
网格和渠道运营中心,20250727,-,P5,100%,58%,100%,57%,100%,43%,100%,52%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932759
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932760
网络管理中心,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932761
网络管理中心,20250727,一经,P0,100%,50%,100%,50%,100%,75%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932762
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932763
网络部,20250727,-,P5,100%,90%,100%,90%,100%,0%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932764
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932765
财务部,20250727,-,P5,100%,92%,100%,89%,100%,65%,100%,89%,100%,78%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932766
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,89%,100%,89%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932767
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932768
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932769
集团客户部,20250727,一经,P0,100%,89%,100%,61%,100%,48%,100%,61%,100%,65%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932770
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932771
-,20250727,-,P3,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932772
-,20250727,一经,P0,100%,98%,100%,77%,100%,70%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932773
-,20250727,大音,P0,100%,100%,100%,66%,100%,66%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932774
-,20250727,掌经,P0,100%,100%,100%,88%,100%,85%,100%,94%,100%,93%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932775
业务室,20250727,-,P5,100%,100%,100%,100%,100%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932776
业务室,20250727,一经,P0,100%,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932777
业务室,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932778
业务管理室,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932779
业务管理室,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932780
云计算和客户响应中心,20250727,-,P5,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932781
云计算和客户响应中心,20250727,一经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932782
云计算和客户响应中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932783
产品研发中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932784
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932785
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932786
信息系统部,20250727,一经,P0,100%,98%,100%,91%,100%,68%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932787
信息系统部,20250727,掌经,P0,100%,100%,100%,81%,100%,75%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932788
内审部,20250727,-,P5,100%,100%,100%,100%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932789
内审部,20250727,一经,P0,100%,100%,100%,90%,100%,72%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932790
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932791
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932792
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932793
客户运营中心,20250727,-,P5,100%,100%,100%,99%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932794
客户运营中心,20250727,一经,P0,100%,100%,100%,81%,100%,71%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932795
客户运营中心,20250727,掌经,P0,100%,100%,100%,83%,100%,83%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932796
客户运营中心-政企运营室,20250727,-,P5,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932797
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932798
市场部,20250727,-,P5,100%,99%,100%,95%,100%,87%,100%,97%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932799
市场部,20250727,一经,P0,100%,100%,100%,75%,100%,63%,100%,75%,100%,75%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932800
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932801
市场部,20250727,掌经,P0,100%,100%,100%,93%,100%,66%,100%,93%,100%,93%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932802
政企客户中心,20250727,一经,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932803
政企客户部,20250727,-,P5,100%,100%,100%,74%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932804
政企客户部,20250727,一经,P0,100%,99%,100%,78%,100%,73%,100%,80%,100%,79%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932805
政企客户部,20250727,掌经,P0,100%,100%,100%,98%,100%,98%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932806
服务管理部,20250727,-,P5,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932807
服务管理部,20250727,一经,P0,100%,97%,100%,73%,100%,58%,100%,78%,100%,78%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932808
服务管理部,20250727,大音,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932809
服务管理部,20250727,掌经,P0,100%,100%,100%,85%,100%,85%,100%,85%,100%,85%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932810
江门分公司,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932811
渠道中心,20250727,一经,P0,100%,100%,100%,83%,100%,33%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932812
渠道中心,20250727,掌经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932813
渠道运营中心,20250727,-,P5,100%,100%,100%,96%,100%,71%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932814
渠道运营中心,20250727,一经,P0,100%,99%,100%,87%,100%,64%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932815
渠道运营中心,20250727,掌经,P0,100%,100%,100%,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932816
网格和渠道运营中心,20250727,-,P5,100%,100%,100%,99%,100%,87%,100%,100%,100%,99%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932817
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932818
网络管理中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932819
网络管理中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932820
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932821
网络部,20250727,-,P5,100%,100%,100%,100%,100%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932822
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932823
财务部,20250727,-,P5,100%,100%,100%,97%,100%,73%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932824
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,96%,100%,96%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932825
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932826
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932827
集团客户部,20250727,一经,P0,100%,98%,100%,80%,100%,61%,100%,81%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932828
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932829
-,20250727,-,P3,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932830
-,20250727,一经,P0,100%,98%,100%,77%,100%,70%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932831
-,20250727,大音,P0,100%,100%,100%,66%,100%,66%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932832
-,20250727,掌经,P0,100%,100%,100%,88%,100%,85%,100%,94%,100%,93%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932833
业务室,20250727,-,P5,100%,100%,100%,100%,100%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932834
业务室,20250727,一经,P0,100%,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932835
业务室,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932836
