interface_id,department,create_time,statistic_cycle,biz_name,level,object_type,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,interface_business_level_id
100008,集团客户部,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278695
100008,集团客户部,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278696
100009,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278697
100009,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278698
100009,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278699
100009,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278700
100009,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278701
100009,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278702
100010,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278703
100010,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278704
100010,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278705
100010,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278706
100010,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278707
100010,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278708
100011,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278709
100011,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278710
100011,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278711
100011,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278712
100011,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278713
100011,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278714
100012,集团客户部,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278715
100012,集团客户部,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278716
100012,集团客户部,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278717
100012,集团客户部,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278718
100012,集团客户部,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278719
100012,集团客户部,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278720
100013,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278721
100013,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278722
100013,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278723
100013,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278724
100013,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278725
100013,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278726
100014,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278727
100014,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278728
100014,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278729
100014,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278730
100014,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278731
100014,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278732
100015,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278733
100015,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278734
100015,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278735
100015,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278736
100015,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278737
100015,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278738
100016,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278739
100016,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278740
100016,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278741
100016,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278742
100016,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278743
100016,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278744
100017,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278745
100017,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278746
100017,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278747
100017,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278748
100017,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278749
100017,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278750
100018,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278751
100018,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278752
100018,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278753
100018,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278754
100018,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278755
100018,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278756
100020,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278757
100020,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278758
100020,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278759
100020,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278760
100020,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278761
100020,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278762
100021,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278763
100021,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278764
100021,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278765
100021,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278766
100021,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278767
100021,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278768
100022,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278769
100022,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278770
100022,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278771
100022,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278772
100022,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278773
100022,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278774
100023,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278775
100023,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278776
100023,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278777
100023,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278778
100023,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278779
100023,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278780
100024,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278781
100024,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278782
100024,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278783
100024,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278784
100024,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278785
100024,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278786
100025,-,20250629,1,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278787
100025,-,20250629,1,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278788
100025,-,20250629,2,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278789
100025,-,20250629,2,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278790
100025,-,20250629,3,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278791
100025,-,20250629,3,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278792
100026,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278793
100026,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278794
100026,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278795
100026,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278796
100026,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278797
100026,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278798
100027,-,20250629,1,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278799
100027,-,20250629,1,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278800
100027,-,20250629,2,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278801
100027,-,20250629,2,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278802
100027,-,20250629,3,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278803
100027,-,20250629,3,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278804
100028,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278805
100028,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278806
100028,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278807
100028,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278808
100028,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278809
100028,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278810
100029,-,20250629,1,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278811
100029,-,20250629,1,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278812
100029,-,20250629,2,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278813
100029,-,20250629,2,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278814
100029,-,20250629,3,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278815
100029,-,20250629,3,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278816
100030,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278817
100030,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278818
100030,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278819
100030,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278820
100030,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278821
100030,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278822
100031,-,20250629,1,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278823
100031,-,20250629,1,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278824
100031,-,20250629,2,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278825
100031,-,20250629,2,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278826
100031,-,20250629,3,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278827
100031,-,20250629,3,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278828
100032,-,20250629,1,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278829
100032,-,20250629,1,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278830
100032,-,20250629,2,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278831
100032,-,20250629,2,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278832
100032,-,20250629,3,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278833
100032,-,20250629,3,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278834
100033,-,20250629,1,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278835
100033,-,20250629,1,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278836
100033,-,20250629,2,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278837
100033,-,20250629,2,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278838
100033,-,20250629,3,一经,P0,1,100%,72%,100%,100%,100%,100%,100%,1753793278839
100033,-,20250629,3,一经,P0,2,100%,72%,100%,100%,100%,100%,100%,1753793278840
100034,信息系统部,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278841
100034,信息系统部,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278842
100034,信息系统部,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278843
100034,信息系统部,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278844
100034,信息系统部,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278845
100034,信息系统部,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278846
100035,信息系统部,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278847
100035,信息系统部,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278848
100035,信息系统部,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278849
100035,信息系统部,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278850
100035,信息系统部,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278851
100035,信息系统部,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278852
100036,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278853
100036,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278854
100036,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278855
100036,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278856
100036,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278857
100036,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278858
100037,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278859
100037,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278860
100037,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278861
100037,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278862
100037,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278863
100037,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278864
100038,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278865
100038,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278866
100038,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278867
100038,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278868
100038,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278869
100038,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278870
100039,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278871
100039,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278872
100039,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278873
100039,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278874
100039,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278875
100039,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278876
100040,服务管理部,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278877
100040,服务管理部,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278878
100040,服务管理部,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278879
100040,服务管理部,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278880
100040,服务管理部,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278881
100040,服务管理部,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278882
100041,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278883
100041,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278884
100041,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278885
100041,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278886
100041,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278887
100041,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278888
100042,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278889
100042,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278890
100042,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278891
100042,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278892
100042,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278893
100042,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278894
100043,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278895
100043,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278896
100043,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278897
100043,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278898
100043,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278899
100043,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278900
100044,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278901
100044,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278902
100044,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278903
100044,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278904
100044,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278905
100044,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278906
100046,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278907
100046,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278908
100046,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278909
100046,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278910
100046,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278911
100046,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278912
100047,-,20250629,1,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278913
100047,-,20250629,1,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278914
100047,-,20250629,2,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278915
100047,-,20250629,2,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278916
100047,-,20250629,3,其他,P5,1,100%,100%,100%,100%,100%,100%,100%,1753793278917
100047,-,20250629,3,其他,P5,2,100%,100%,100%,100%,100%,100%,100%,1753793278918
100048,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278919
100048,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278920
100048,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278921
100048,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278922
100048,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278923
100048,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278924
100049,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278925
100049,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278926
100049,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278927
100049,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278928
100049,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278929
100049,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278930
100050,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278931
100050,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278932
100050,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278933
100050,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278934
100050,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278935
100050,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278936
100051,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278937
100051,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278938
100051,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278939
100051,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278940
100051,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278941
100051,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278942
100052,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278943
100052,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278944
100052,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278945
100052,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278946
100052,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278947
100052,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278948
100053,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278949
100053,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278950
100053,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278951
100053,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278952
100053,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278953
100053,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278954
100054,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278955
100054,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278956
100054,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278957
100054,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278958
100054,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278959
100054,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278960
100055,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278961
100055,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278962
100055,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278963
100055,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278964
