interface_id,department,create_time,biz_name,level,stability_scan,scan_timeliness,stability_clean,cleaning_timeliness,stability_convert,conversion_timeliness,stability_warehouse,warehousing_timeliness,stability_check,inspection_timeliness,accuracy_sample_field,consistency_file_record,completeness_file_field,uniqueness_primary_key,normativity_field_format,statistic_cycle,statistic_week_month,metric_trend_id,metric_type
100048,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061904,-
100049,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061905,-
100050,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061906,-
100051,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061907,-
100052,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061908,-
100053,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061909,-
100054,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061910,-
100055,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061911,-
100056,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061912,-
100057,-,20250727,其他,P5,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061913,-
100058,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061914,-
100059,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061915,-
100060,市场部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061916,-
100061,-,20250727,其他,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061917,-
100062,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061918,-
100063,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061919,-
100064,信息系统部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061920,-
100065,集团客户部,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061921,-
100066,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061922,-
100067,客户运营中心,20250727,一经,P0,100%,0%,100%,50%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061923,-
100068,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061924,-
100069,客户运营中心,20250727,一经,P0,100%,0%,100%,50%,100%,50%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061925,-
100070,客户运营中心,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061926,-
100071,内审部,20250727,一经,P0,100%,0%,100%,0%,100%,66%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061927,-
100072,-,20250727,其他,P5,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061928,-
100073,客户运营中心,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061929,-
100074,客户运营中心,20250727,一经,P0,100%,0%,100%,0%,100%,50%,100%,0%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061930,-
100075,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061931,-
100076,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061932,-
100077,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061933,-
100078,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061934,-
100079,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061935,-
100080,-,20250727,其他,P5,100%,0%,100%,0%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061936,-
100081,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061937,-
100082,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061938,-
100083,-,20250727,一经,P0,100%,0%,100%,0%,100%,50%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061939,-
100084,-,20250727,其他,P5,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061940,-
100085,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061941,-
100086,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061942,-
100088,内审部,20250727,一经,P0,100%,0%,100%,0%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061943,-
100097,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061944,-
100098,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061945,-
100099,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061946,-
100100,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061947,-
100101,-,20250727,一经,P0,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061948,-
100102,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061949,-
100103,-,20250727,一经,P0,100%,66%,100%,33%,100%,0%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061950,-
100104,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061951,-
100105,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061952,-
100111,-,20250727,一经,P0,100%,66%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061953,-
100113,-,20250727,一经,P0,100%,66%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061954,-
100114,-,20250727,一经,P0,100%,66%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061955,-
100115,-,20250727,一经,P0,100%,66%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061956,-
100117,-,20250727,一经,P0,100%,66%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061957,-
100119,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061958,-
100120,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061959,-
100122,-,20250727,一经,P0,100%,66%,67%,66%,100%,33%,100%,33%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061960,-
100124,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061961,-
100125,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061962,-
100126,-,20250727,一经,P0,100%,33%,100%,33%,100%,33%,100%,33%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061963,-
100127,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061964,-
100129,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061965,-
100130,-,20250727,一经,P0,100%,66%,100%,66%,100%,0%,100%,66%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061966,-
100131,-,20250727,一经,P0,100%,66%,100%,33%,100%,0%,100%,66%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061967,-
100132,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061968,-
100133,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061969,-
100134,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061970,-
100135,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061971,-
100136,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061972,-
100137,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061973,-
100138,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061974,-
100139,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061975,-
100140,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061976,-
100141,信息系统部,20250727,一经,P0,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061977,-
100142,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061978,-
100143,市场部,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061979,-
100144,-,20250727,一经,P0,100%,66%,100%,33%,100%,0%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061980,-
100145,业务室,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061981,-
100147,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061982,-
100148,-,20250727,一经,P0,100%,66%,67%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061983,-
100149,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061984,-
100150,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061985,-
100151,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061986,-
100152,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061987,-
100153,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061988,-
100154,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061989,-
100155,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061990,-
100156,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061991,-
100158,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061992,-
100159,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061993,-
100160,-,20250727,一经,P0,100%,66%,100%,66%,100%,66%,100%,33%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061994,-
100161,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061995,-
100162,-,20250727,一经,P0,100%,66%,100%,33%,100%,0%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061996,-
100165,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061997,-
100166,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061998,-
100167,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061999,-
100168,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062000,-
100169,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062001,-
100170,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062002,-
100172,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062003,-
100173,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062004,-
100174,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062005,-
100175,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062006,-
100176,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,66%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870062007,-
100177,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062008,-
100178,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062009,-
100179,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062010,-
100180,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062011,-
100181,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062012,-
100182,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062013,-
100183,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062014,-
100184,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062015,-
100185,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062016,-
100186,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062017,-
100187,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062018,-
100188,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062019,-
100189,-,20250727,一经,P0,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870062020,-
100192,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062021,-
100193,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062022,-
100194,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062023,-
100195,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062024,-
100196,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062025,-
100197,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062026,-
100203,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062027,-
100204,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062028,-
100205,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062029,-
100206,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062030,-
100207,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062031,-
100208,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062032,-
100209,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062033,-
100210,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062034,-
100211,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062035,-
100212,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062036,-
100214,-,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062037,-
100215,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870062038,-
100216,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870062039,-
100217,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870062040,-
100218,-,20250727,一经,P0,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870062041,-
100220,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062042,-
100221,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870062043,-
100222,-,20250727,一经,P0,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870062044,-
