department,create_time,statistic_cycle,biz_name,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,object_type,level,interface_business_level_id
产品研发中心,20250727,2,-,100%,88%,100%,100%,100%,100%,100%,1,,1753962934542
产品研发中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934543
产品研发中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934544
产品研发中心,20250727,2,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934545
产品研发中心,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934546
产品研发中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934547
产品研发中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934548
产品研发中心,20250727,3,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934549
信息系统部,20250727,1,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934550
信息系统部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934551
信息系统部,20250727,1,掌经,98%,30%,100%,100%,100%,100%,100%,1,,1753962934552
信息系统部,20250727,1,一经,99%,39%,100%,100%,100%,100%,100%,1,,1753962934553
信息系统部,20250727,2,-,100%,67%,100%,100%,100%,100%,100%,1,,1753962934554
信息系统部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934555
信息系统部,20250727,2,掌经,100%,77%,100%,100%,100%,100%,100%,1,,1753962934556
信息系统部,20250727,2,一经,100%,75%,100%,100%,100%,100%,100%,1,,1753962934557
信息系统部,20250727,3,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934558
信息系统部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934559
信息系统部,20250727,3,掌经,100%,87%,100%,100%,100%,100%,100%,1,,1753962934560
信息系统部,20250727,3,一经,100%,85%,100%,100%,100%,100%,100%,1,,1753962934561
内审部,20250727,1,-,100%,52%,100%,100%,100%,100%,100%,1,,1753962934562
内审部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934563
内审部,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934564
内审部,20250727,1,一经,100%,54%,100%,100%,100%,100%,100%,1,,1753962934565
内审部,20250727,2,-,100%,84%,100%,100%,100%,100%,100%,1,,1753962934566
内审部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934567
内审部,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934568
内审部,20250727,2,一经,100%,82%,100%,100%,100%,100%,100%,1,,1753962934569
内审部,20250727,3,-,100%,94%,100%,100%,100%,100%,100%,1,,1753962934570
内审部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934571
内审部,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934572
内审部,20250727,3,一经,100%,88%,100%,100%,100%,100%,100%,1,,1753962934573
客户响应中心,20250727,1,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934574
客户响应中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934575
客户响应中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934576
客户响应中心,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934577
客户响应中心,20250727,2,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934578
客户响应中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934579
客户响应中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934580
客户响应中心,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934581
客户响应中心,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934582
客户响应中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934583
客户响应中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934584
客户响应中心,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934585
客户服务中心,20250727,1,-,-,-,-,-,-,-,-,1,,1753962934586
客户服务中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934587
客户服务中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934588
客户服务中心,20250727,1,一经,100%,80%,100%,100%,100%,100%,100%,1,,1753962934589
客户服务中心,20250727,2,-,-,-,-,-,-,-,-,1,,1753962934590
客户服务中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934591
客户服务中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934592
客户服务中心,20250727,2,一经,100%,80%,100%,100%,100%,100%,100%,1,,1753962934593
客户服务中心,20250727,3,-,-,-,-,-,-,-,-,1,,1753962934594
客户服务中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934595
客户服务中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934596
客户服务中心,20250727,3,一经,100%,80%,100%,100%,100%,100%,100%,1,,1753962934597
客户服务部,20250727,1,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934598
客户服务部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934599
客户服务部,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934600
客户服务部,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934601
客户服务部,20250727,2,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934602
客户服务部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934603
客户服务部,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934604
客户服务部,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934605
客户服务部,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934606
客户服务部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934607
客户服务部,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934608
客户服务部,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934609
客户运营中心,20250727,1,-,100%,52%,100%,100%,100%,100%,100%,1,,1753962934610
客户运营中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934611
客户运营中心,20250727,1,掌经,100%,29%,100%,100%,100%,100%,100%,1,,1753962934612
客户运营中心,20250727,1,一经,100%,24%,100%,100%,100%,100%,100%,1,,1753962934613
客户运营中心,20250727,2,-,100%,83%,100%,100%,100%,100%,100%,1,,1753962934614
客户运营中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934615
客户运营中心,20250727,2,掌经,100%,73%,100%,100%,100%,100%,100%,1,,1753962934616
客户运营中心,20250727,2,一经,100%,72%,100%,100%,100%,100%,100%,1,,1753962934617
客户运营中心,20250727,3,-,100%,94%,100%,100%,100%,100%,100%,1,,1753962934618
客户运营中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934619
客户运营中心,20250727,3,掌经,100%,86%,100%,100%,100%,100%,100%,1,,1753962934620
客户运营中心,20250727,3,一经,100%,82%,100%,100%,100%,100%,100%,1,,1753962934621
客户运营中心-政企运营室,20250727,1,-,100%,73%,100%,100%,100%,100%,100%,1,,1753962934622
客户运营中心-政企运营室,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934623
客户运营中心-政企运营室,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934624
客户运营中心-政企运营室,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934625
客户运营中心-政企运营室,20250727,2,-,100%,87%,100%,100%,100%,100%,100%,1,,1753962934626
客户运营中心-政企运营室,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934627
客户运营中心-政企运营室,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934628
客户运营中心-政企运营室,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934629
客户运营中心-政企运营室,20250727,3,-,100%,98%,100%,100%,100%,100%,100%,1,,1753962934630
客户运营中心-政企运营室,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934631
客户运营中心-政企运营室,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934632
客户运营中心-政企运营室,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934633
家庭中心,20250727,1,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934634
家庭中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934635
家庭中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934636
家庭中心,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934637
家庭中心,20250727,2,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934638
家庭中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934639
家庭中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934640
家庭中心,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934641
家庭中心,20250727,3,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934642
家庭中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934643
家庭中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934644
家庭中心,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934645
市场部,20250727,1,-,100%,68%,100%,100%,100%,100%,100%,1,,1753962934646
市场部,20250727,1,大音,100%,90%,100%,100%,100%,100%,100%,1,,1753962934647
市场部,20250727,1,掌经,100%,51%,100%,100%,100%,100%,100%,1,,1753962934648
市场部,20250727,1,一经,100%,43%,100%,100%,100%,100%,100%,1,,1753962934649
市场部,20250727,2,-,100%,88%,100%,100%,100%,100%,100%,1,,1753962934650
市场部,20250727,2,大音,100%,100%,100%,100%,100%,100%,100%,1,,1753962934651
市场部,20250727,2,掌经,100%,85%,100%,100%,100%,100%,100%,1,,1753962934652
市场部,20250727,2,一经,100%,70%,100%,100%,100%,100%,100%,1,,1753962934653
市场部,20250727,3,-,100%,95%,100%,100%,100%,100%,100%,1,,1753962934654
市场部,20250727,3,大音,100%,100%,100%,100%,100%,100%,100%,1,,1753962934655
市场部,20250727,3,掌经,100%,89%,100%,100%,100%,100%,100%,1,,1753962934656
市场部,20250727,3,一经,100%,77%,100%,100%,100%,100%,100%,1,,1753962934657
政企客户中心,20250727,1,-,-,-,-,-,-,-,-,1,,1753962934658
政企客户中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934659
政企客户中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934660
政企客户中心,20250727,1,一经,100%,0%,100%,100%,100%,100%,100%,1,,1753962934661
政企客户中心,20250727,2,-,-,-,-,-,-,-,-,1,,1753962934662
政企客户中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934663
政企客户中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934664
政企客户中心,20250727,2,一经,100%,67%,100%,100%,100%,100%,100%,1,,1753962934665
政企客户中心,20250727,3,-,-,-,-,-,-,-,-,1,,1753962934666
政企客户中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934667
政企客户中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934668
政企客户中心,20250727,3,一经,100%,84%,100%,100%,100%,100%,100%,1,,1753962934669
政企客户部,20250727,1,-,99%,22%,100%,100%,100%,100%,100%,1,,1753962934670
政企客户部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934671
政企客户部,20250727,1,掌经,99%,53%,100%,100%,100%,100%,100%,1,,1753962934672
政企客户部,20250727,1,一经,99%,50%,100%,100%,100%,100%,100%,1,,1753962934673
政企客户部,20250727,2,-,100%,79%,100%,100%,100%,100%,100%,1,,1753962934674
政企客户部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934675
政企客户部,20250727,2,掌经,99%,94%,100%,100%,100%,100%,100%,1,,1753962934676
政企客户部,20250727,2,一经,99%,77%,100%,100%,100%,100%,100%,1,,1753962934677
政企客户部,20250727,3,-,100%,88%,100%,100%,100%,100%,100%,1,,1753962934678
政企客户部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934679
政企客户部,20250727,3,掌经,100%,98%,100%,100%,100%,100%,100%,1,,1753962934680
政企客户部,20250727,3,一经,100%,81%,100%,100%,100%,100%,100%,1,,1753962934681
服务管理部,20250727,1,-,99%,50%,100%,100%,100%,100%,100%,1,,1753962934682
服务管理部,20250727,1,大音,100%,20%,100%,100%,100%,100%,100%,1,,1753962934683
服务管理部,20250727,1,掌经,100%,36%,100%,100%,100%,100%,100%,1,,1753962934684
服务管理部,20250727,1,一经,100%,34%,100%,100%,100%,100%,100%,1,,1753962934685
服务管理部,20250727,2,-,99%,85%,100%,100%,100%,100%,100%,1,,1753962934686
服务管理部,20250727,2,大音,100%,73%,100%,100%,100%,100%,100%,1,,1753962934687
服务管理部,20250727,2,掌经,100%,80%,100%,100%,100%,100%,100%,1,,1753962934688
服务管理部,20250727,2,一经,100%,66%,100%,100%,100%,100%,100%,1,,1753962934689
服务管理部,20250727,3,-,100%,98%,100%,100%,100%,100%,100%,1,,1753962934690
服务管理部,20250727,3,大音,100%,84%,100%,100%,100%,100%,100%,1,,1753962934691
服务管理部,20250727,3,掌经,100%,88%,100%,100%,100%,100%,100%,1,,1753962934692
服务管理部,20250727,3,一经,100%,76%,100%,100%,100%,100%,100%,1,,1753962934693
江门分公司,20250727,1,-,100%,0%,100%,100%,100%,100%,100%,1,,1753962934694
江门分公司,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934695
江门分公司,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934696
江门分公司,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934697
江门分公司,20250727,2,-,100%,70%,100%,100%,100%,100%,100%,1,,1753962934698
江门分公司,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934699
江门分公司,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934700
江门分公司,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934701
江门分公司,20250727,3,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934702
江门分公司,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934703
江门分公司,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934704
江门分公司,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934705
渠道中心,20250727,1,-,-,-,-,-,-,-,-,1,,1753962934706
渠道中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934707
渠道中心,20250727,1,掌经,100%,23%,100%,100%,100%,100%,100%,1,,1753962934708
渠道中心,20250727,1,一经,100%,11%,100%,100%,100%,100%,100%,1,,1753962934709
渠道中心,20250727,2,-,-,-,-,-,-,-,-,1,,1753962934710
渠道中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934711
渠道中心,20250727,2,掌经,100%,78%,100%,100%,100%,100%,100%,1,,1753962934712
渠道中心,20250727,2,一经,100%,61%,100%,100%,100%,100%,100%,1,,1753962934713
渠道中心,20250727,3,-,-,-,-,-,-,-,-,1,,1753962934714
渠道中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934715
渠道中心,20250727,3,掌经,100%,93%,100%,100%,100%,100%,100%,1,,1753962934716
渠道中心,20250727,3,一经,100%,76%,100%,100%,100%,100%,100%,1,,1753962934717
渠道运营中心,20250727,1,-,100%,46%,100%,100%,100%,100%,100%,1,,1753962934718
渠道运营中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934719
渠道运营中心,20250727,1,掌经,100%,46%,100%,100%,100%,100%,100%,1,,1753962934720
渠道运营中心,20250727,1,一经,100%,52%,100%,100%,100%,100%,100%,1,,1753962934721
渠道运营中心,20250727,2,-,100%,79%,100%,100%,100%,100%,100%,1,,1753962934722
渠道运营中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934723
渠道运营中心,20250727,2,掌经,100%,93%,100%,100%,100%,100%,100%,1,,1753962934724
渠道运营中心,20250727,2,一经,100%,79%,100%,100%,100%,100%,100%,1,,1753962934725
渠道运营中心,20250727,3,-,100%,92%,100%,100%,100%,100%,100%,1,,1753962934726
渠道运营中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934727
渠道运营中心,20250727,3,掌经,100%,96%,100%,100%,100%,100%,100%,1,,1753962934728
渠道运营中心,20250727,3,一经,100%,84%,100%,100%,100%,100%,100%,1,,1753962934729
网格和渠道运营中心,20250727,1,-,100%,53%,100%,100%,100%,100%,100%,1,,1753962934730
网格和渠道运营中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934731
网格和渠道运营中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934732
网格和渠道运营中心,20250727,1,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934733
网格和渠道运营中心,20250727,2,-,100%,85%,100%,100%,100%,100%,100%,1,,1753962934734
网格和渠道运营中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934735
网格和渠道运营中心,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934736
网格和渠道运营中心,20250727,2,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934737
网格和渠道运营中心,20250727,3,-,100%,97%,100%,100%,100%,100%,100%,1,,1753962934738
网格和渠道运营中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934739
网格和渠道运营中心,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934740
网格和渠道运营中心,20250727,3,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934741
网络管理中心,20250727,1,-,100%,0%,100%,100%,100%,100%,100%,1,,1753962934742
网络管理中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934743
网络管理中心,20250727,1,掌经,100%,80%,100%,100%,100%,100%,100%,1,,1753962934744
网络管理中心,20250727,1,一经,100%,60%,100%,100%,100%,100%,100%,1,,1753962934745
网络管理中心,20250727,2,-,100%,75%,100%,100%,100%,100%,100%,1,,1753962934746
网络管理中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934747
网络管理中心,20250727,2,掌经,100%,95%,100%,100%,100%,100%,100%,1,,1753962934748
网络管理中心,20250727,2,一经,100%,88%,100%,100%,100%,100%,100%,1,,1753962934749
网络管理中心,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934750
网络管理中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934751
网络管理中心,20250727,3,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934752
网络管理中心,20250727,3,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934753
网络部,20250727,1,-,100%,72%,100%,100%,100%,100%,100%,1,,1753962934754
网络部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934755
网络部,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934756
网络部,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934757
网络部,20250727,2,-,100%,79%,100%,100%,100%,100%,100%,1,,1753962934758
网络部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934759
网络部,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934760
网络部,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934761
网络部,20250727,3,-,100%,81%,100%,100%,100%,100%,100%,1,,1753962934762
网络部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934763
网络部,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934764
网络部,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934765
计划建设部,20250727,1,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934766
计划建设部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934767
计划建设部,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934768
计划建设部,20250727,1,一经,-,-,-,-,-,-,-,1,,1753962934769
计划建设部,20250727,2,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934770
计划建设部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934771
计划建设部,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934772
计划建设部,20250727,2,一经,-,-,-,-,-,-,-,1,,1753962934773
计划建设部,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934774
计划建设部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934775
计划建设部,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934776
计划建设部,20250727,3,一经,-,-,-,-,-,-,-,1,,1753962934777
财务部,20250727,1,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934778
财务部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934779
财务部,20250727,1,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934780
财务部,20250727,1,一经,100%,81%,100%,100%,100%,100%,100%,1,,1753962934781
财务部,20250727,2,-,100%,90%,100%,100%,100%,100%,100%,1,,1753962934782
财务部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934783
财务部,20250727,2,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934784
财务部,20250727,2,一经,100%,91%,100%,100%,100%,100%,100%,1,,1753962934785
财务部,20250727,3,-,100%,93%,100%,100%,100%,100%,100%,1,,1753962934786
财务部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934787
财务部,20250727,3,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934788
财务部,20250727,3,一经,100%,91%,100%,100%,100%,100%,100%,1,,1753962934789
集团客户部,20250727,1,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934790
集团客户部,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934791
集团客户部,20250727,1,掌经,100%,69%,100%,100%,100%,100%,100%,1,,1753962934792
集团客户部,20250727,1,一经,100%,59%,100%,100%,100%,100%,100%,1,,1753962934793
集团客户部,20250727,2,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934794
集团客户部,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934795
集团客户部,20250727,2,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934796
集团客户部,20250727,2,一经,100%,77%,100%,100%,100%,100%,100%,1,,1753962934797
集团客户部,20250727,3,-,100%,100%,100%,100%,100%,100%,100%,1,,1753962934798
集团客户部,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934799
集团客户部,20250727,3,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934800
集团客户部,20250727,3,一经,100%,81%,100%,100%,100%,100%,100%,1,,1753962934801
-,20250727,1,,100%,48%,100%,100%,100%,100%,100%,2,P0,1753962934802
-,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934803
-,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934804
-,20250727,1,,100%,0%,100%,100%,100%,100%,100%,2,P3,1753962934805
-,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934806
-,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962934807
-,20250727,2,,100%,78%,100%,100%,100%,100%,100%,2,P0,1753962934808
-,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934809
-,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934810
-,20250727,2,,100%,67%,100%,100%,100%,100%,100%,2,P3,1753962934811
-,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934812
-,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962934813
-,20250727,3,,100%,84%,100%,100%,100%,100%,100%,2,P0,1753962934814
-,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934815
-,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934816
-,20250727,3,,100%,90%,100%,100%,100%,100%,100%,2,P3,1753962934817
-,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934818
-,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962934819
